id,product_name,category,manufacturer,net_quantity,mrp,mfg_date,consumer_care,country_of_origin,compliance_status,violations,scanned_timestamp,ocr_confidence
LMC-01020,Sterilized Flavoured Milk 500 g,Dairy Products,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",500 g,Rs. 390.00 (Incl. of all taxes),03/2026,Email: care@vedic.com | Ph: 1800-633-1663,India,NEEDS REVIEW,Rule 7: Font size / unit symbol ambiguous or truncated under OCR,2026-07-25 09:32:36,71%
LMC-01021,Darjeeling Whole Leaf Black Tea 500 g,Tea & Coffee,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",500 g,Not Declared,05/2026,Email: care@vedic.com | Ph: 1800-306-4145,Not Declared,NON-COMPLIANT,Rule 6(1)(n): Missing Country of Origin declaration; Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent,2026-08-28 07:01:36,79%
LMC-01022,Sparkling Apple Cider Drink 200 ml,Beverages & Juices,Not Declared,200 ml,Rs. 870.00,01/2026,Email: care@godavari.com | Ph: 1800-908-1364,India,NON-COMPLIANT,Rule 6(1)(a): Manufacturer/packer declaration entirely missing; Rule 6(1)(da): Missing 'Inclusive of all taxes' declaration with MRP,2026-08-15 12:39:36,85%
LMC-01023,Mixed Fruit Orchard Blend 200 ml,Beverages & Juices,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",200 ml,Rs. 26.00 (Incl. of all taxes),06/2026,Email: care@ananya.com | Ph: 1800-670-2281,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-02 00:42:36,96%
LMC-01024,Salted Table Butter 100 g,Dairy Products,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",100 gms,Rs. 524.00 (Incl. of all taxes),02/2026,Helpline: 1800-996-2631 (Email missing),India,NEEDS REVIEW,Rule 6(1)(e): Missing consumer care email address; Rule 6(1)(c): Non-standard unit abbreviation used ('gms' / 'gm' instead of standard 'g'),2026-08-02 12:02:36,78%
LMC-01025,Alphonso Mango Nectar 200 ml,Beverages & Juices,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",200 ml,Rs. 457.00,04/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(da): Missing 'Inclusive of all taxes' declaration with MRP; Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-07-22 23:25:36,81%
LMC-01026,Kasuri Methi 250 g,Spices & Condiments,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",250 g,Rs. 64.00 (Incl. of all taxes),07/2026,Email: care@surya.com | Ph: 1800-116-2850,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-19 03:20:36,95%
LMC-01027,Marie Crisp Tea Biscuits 50 g,Biscuits & Cookies,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",50 g,Rs. 271.00 (Incl. of all taxes),07/2026,Email: care@himalayan.com | Ph: 1800-371-3308,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-22 16:41:36,95%
LMC-01028,Coriander Dhania Powder 200 g,Spices & Condiments,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",200 g,Rs. 703.00 (Incl. of all taxes),02/2026,Email: care@vedic.com | Ph: 1800-351-5260,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-11 08:40:36,91%
LMC-01029,Rice Flour Fine 1 kg,Atta & Flours,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",1 kg,Rs. 391.00 (Incl. of all taxes),08/2026,Email: care@pristine.com | Ph: 1800-348-7105,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-12 02:21:36,94%
LMC-01030,Palak Paneer Ready Curry 500 g,Ready-to-Eat,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",500 g,Rs. 672.00 (Incl. of all taxes),05/2026,Email: care@himalayan.com | Ph: 1800-792-8709,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-26 14:48:36,90%
LMC-01031,Cold Pressed Mustard Oil 250 ml,Edible Oils,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",250 ml,Rs. 413.00 (Incl. of all taxes),01/2026,Email: care@himalayan.com | Ph: 1800-336-5277,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-15 20:52:36,89%
LMC-01032,Premium Assam CTC Tea 200 g,Tea & Coffee,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",200 g,Rs. 146.00 (Incl. of all taxes),04/2026,Email: care@pristine.com | Ph: 1800-376-7984,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-23 22:05:36,91%
LMC-01033,Royal Garam Masala Blend 500 g,Spices & Condiments,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",500 g,Rs. 209.00 (Incl. of all taxes),07/2026,Email: care@godavari.com | Ph: 1800-942-9605,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-08 07:41:36,92%
LMC-01034,Refined Sunflower Cooking Oil 500 ml,Edible Oils,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",500 ml,Rs. 596.00 (Incl. of all taxes),04/2026,Not Declared,Not Declared,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing; Rule 6(1)(n): Missing Country of Origin declaration,2026-07-06 19:58:36,86%
LMC-01035,Alphonso Mango Nectar 750 ml,Beverages & Juices,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",750 ml,Rs. 352.00 (Incl. of all taxes),08/2026,Email: care@himalayan.com | Ph: 1800-112-8535,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-10 18:36:36,88%
LMC-01036,Kashmiri Degi Mirch Powder 400 g,Spices & Condiments,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",400 g,Rs. 824.00 (Incl. of all taxes),06/2026,Email: care@pristine.com | Ph: 1800-554-8306,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-27 17:06:36,96%
LMC-01037,Almond Cashew Shortbread 400 g,Biscuits & Cookies,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",400 g,Rs. 304.00 (Incl. of all taxes),04/2026,Helpline: 1800-712-9977 (Email missing),India,NEEDS REVIEW,Rule 6(1)(e): Missing consumer care email address,2026-08-13 13:02:36,73%
LMC-01038,Pure Sesame Gingelly Oil 5 L,Edible Oils,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",5 ltr,Rs. 919.00 (Incl. of all taxes),08/2026,Email: care@vedic.com | Ph: 1800-884-1968,India,NEEDS REVIEW,Rule 7: Font size / unit symbol ambiguous or truncated under OCR; Rule 6(1)(c): Non-standard unit abbreviation used ('ML' / 'ltr' instead of 'ml' / 'L'),2026-08-23 11:47:36,71%
LMC-01039,Agmark Haldi Turmeric Powder 250 g,Spices & Condiments,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",250 g,Rs. 209.00 (Incl. of all taxes),08/2026,Email: care@ananya.com | Ph: 1800-903-8623,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-23 23:30:36,96%
LMC-01040,Pasteurized Cow Ghee 250 g,Dairy Products,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",250 g,Rs. 741.00 (Incl. of all taxes),Not Declared,Not Declared,India,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing; Rule 6(1)(d): Month and year of manufacture/packing missing,2026-08-30 18:53:36,82%
LMC-01041,Roasted Almond Milk Bar 200 g,Chocolates & Confectionery,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",200 g,Rs. 322.00 (Incl. of all taxes),02/2026,Email: care@vedic.com | Ph: 1800-551-9052,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-28 09:32:36,88%
LMC-01042,Roasted Almond Milk Bar 200 g,Chocolates & Confectionery,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",200 g,Rs. 398.00 (Incl. of all taxes),05/2026,Email: care@ananya.com | Ph: 1800-464-1138,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-16 07:56:36,89%
LMC-01043,Instant Chicory Coffee Powder 100 g,Tea & Coffee,Not Declared,100 g,Rs. 165.00 (Incl. of all taxes),07/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing; Rule 6(1)(a): Manufacturer/packer declaration entirely missing,2026-08-25 17:58:36,75%
LMC-01044,Sterilized Flavoured Milk 400 g,Dairy Products,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",400 g,Rs. 204.00 (Incl. of all taxes),05/2026,Helpline: 1800-959-5329 (Email missing),India,NEEDS REVIEW,Rule 6(1)(e): Missing consumer care email address,2026-07-07 15:29:36,64%
LMC-01045,Kashmiri Degi Mirch Powder 500 g,Spices & Condiments,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",500 g,Rs. 595.00 (Incl. of all taxes),Not Declared,Email: care@ananya.com | Ph: 1800-461-4439,India,NON-COMPLIANT,Rule 6(1)(d): Month and year of manufacture/packing missing,2026-08-01 08:27:36,89%
LMC-01046,Crunchy Moong Dal Namkeen 400 g,Snacks & Namkeen,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",400 g,Rs. 126.00 (Incl. of all taxes),02/2026,Email: care@godavari.com | Ph: 1800-666-1458,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-24 03:56:36,97%
LMC-01047,Gulab Jamun Instant Mix 400 g,Ready-to-Eat,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",400 g,Rs. 407.00 (Incl. of all taxes),03/2026,Email: care@godavari.com | Ph: 1800-274-5027,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-06 02:24:36,99%
LMC-01048,Salted Crackers 100 g,Biscuits & Cookies,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",100 g,Rs. 538.00 (Incl. of all taxes),04/2026,Email: care@kaveri.com | Ph: 1800-516-2028,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-16 01:25:36,92%
LMC-01049,Lemon Iced Tea Concentrate 5 L,Beverages & Juices,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",5 L,Rs. 465.00 (Incl. of all taxes),07/2026,Helpline: 1800-380-3399 (Email missing),Imported (Origin: Sri Lanka),NEEDS REVIEW,Rule 6(1)(e): Missing consumer care email address,2026-08-22 16:22:36,77%
LMC-01050,Refined Sunflower Cooking Oil 750 ml,Edible Oils,"Ananya Consumer Goods Ltd, Gurugram",750 ML,Rs. 626.00 (Incl. of all taxes),08/2026,Email: care@ananya.com | Ph: 1800-826-8202,India,NEEDS REVIEW,Rule 6(1)(a): Physical address of manufacturer incomplete (missing PIN code/city); Rule 6(1)(c): Non-standard unit abbreviation used ('ML' / 'ltr' instead of 'ml' / 'L'),2026-07-18 07:02:36,69%
LMC-01051,Spicy Aloo Bhujia 200 g,Snacks & Namkeen,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",200 g,Rs. 90.00 (Incl. of all taxes),02/2026,Email: care@ananya.com | Ph: 1800-927-5966,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-09-03 11:40:36,92%
LMC-01052,Green Tea Lemon Honey Bags 200 g,Tea & Coffee,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",200 g,Rs. 110.00 (Incl. of all taxes),02/2026,Email: care@godavari.com | Ph: 1800-371-9083,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-27 16:39:36,95%
LMC-01053,Organic Besan Gram Flour 5 kg,Atta & Flours,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",5 kg,Rs. 169.00 (Incl. of all taxes),06/2026,Email: care@himalayan.com | Ph: 1800-634-3182,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-01 08:12:36,92%
LMC-01054,Kasuri Methi 100 g,Spices & Condiments,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",100 g,Rs. 278.00 (Incl. of all taxes),05/2026,Email: care@kaveri.com | Ph: 1800-201-9449,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-23 10:42:36,96%
LMC-01055,Refined Sunflower Cooking Oil 750 ml,Edible Oils,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",750 ml,Rs. 788.00 (Incl. of all taxes),02/2026,Email: care@kaveri.com | Ph: 1800-605-4806,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-09-01 18:20:36,92%
LMC-01056,Sparkling Apple Cider Drink 1 L,Beverages & Juices,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",1 L,Not Declared,02/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent; Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-07-31 13:42:36,79%
LMC-01057,Instant Chicory Coffee Powder 400 g,Tea & Coffee,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",400 g,Rs. 431.00 (Incl. of all taxes),05/2026,Email: care@ananya.com | Ph: 1800-920-4207,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-10 18:59:36,95%
LMC-01058,Masala Potato Wafers 100 g,Snacks & Namkeen,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",100 g,Rs. 805.00 (Incl. of all taxes),03/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-09-02 21:09:36,80%
LMC-01059,Instant Masala Noodles 250 g,Ready-to-Eat,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",250 g,Rs. 74.00 (Incl. of all taxes),01/2026,Email: care@navrang.com | Ph: 1800-815-5358,India,NEEDS REVIEW,Rule 6(1)(c): Non-standard unit abbreviation used ('ML' / 'ltr' instead of 'ml' / 'L'),2026-09-03 19:44:36,78%
LMC-01060,Salted Table Butter 750 g,Dairy Products,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",750 g,Not Declared,08/2026,Email: care@navrang.com | Ph: 1800-558-6681,India,NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent,2026-07-16 03:08:36,86%
LMC-01061,Cold Pressed Mustard Oil 750 ml,Edible Oils,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",750 ml,Not Declared,07/2026,Email: care@vedic.com | Ph: 1800-554-8698,India,NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent,2026-08-18 21:05:36,91%
LMC-01062,Tangy Tomato Nacho Chips 250 g,Snacks & Namkeen,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",250 g,Rs. 720.00 (Incl. of all taxes),03/2026,Email: care@godavari.com | Ph: 1800-473-3872,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-13 11:42:36,92%
LMC-01063,Instant Chicory Coffee Powder 400 g,Tea & Coffee,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",400 g,Rs. 924.00,05/2026,Email: care@godavari.com | Ph: 1800-477-7781,India,NON-COMPLIANT,Rule 6(1)(da): Missing 'Inclusive of all taxes' declaration with MRP,2026-07-12 20:41:36,91%
LMC-01064,Rava Upma Breakfast Mix 50 g,Ready-to-Eat,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",50 g,Rs. 398.00 (Incl. of all taxes),08/2026,Email: care@navrang.com | Ph: 1800-705-3991,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-06 17:08:36,98%
LMC-01065,Salted Table Butter 750 g,Dairy Products,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",750 g,Rs. 194.00 (Incl. of all taxes),05/2026,Email: care@navrang.com | Ph: 1800-574-8729,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-29 00:06:36,96%
LMC-01066,Caramel Toffee Pouch 500 g,Chocolates & Confectionery,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",500 g,Rs. 609.00 (Incl. of all taxes),03/2026,Email: care@ananya.com | Ph: 1800-665-8084,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-16 03:38:36,92%
LMC-01067,Alphonso Mango Nectar 1 L,Beverages & Juices,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",1 L,Rs. 652.00 (Incl. of all taxes),01/2026,Email: care@surya.com | Ph: 1800-400-9315,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-09 23:39:36,96%
LMC-01068,Marie Crisp Tea Biscuits 500 g,Biscuits & Cookies,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",500 g,Rs. 585.00 (Incl. of all taxes),06/2026,Helpline: 1800-158-3125 (Email missing),India,NEEDS REVIEW,Rule 7: Font size / unit symbol ambiguous or truncated under OCR; Rule 6(1)(e): Missing consumer care email address,2026-08-03 12:32:36,64%
LMC-01069,Organic Besan Gram Flour 2 kg,Atta & Flours,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",2 kg,Rs. 851.00 (Incl. of all taxes),01/2026,Email: care@himalayan.com | Ph: 1800-231-8298,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-20 14:31:36,96%
LMC-01070,Refined Groundnut Oil 200 ml,Edible Oils,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",200 ml,Rs. 595.00 (Incl. of all taxes),02/2026,Email: care@himalayan.com | Ph: 1800-867-8536,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-21 20:49:36,91%
LMC-01071,Royal Garam Masala Blend 750 g,Spices & Condiments,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",750 g,Rs. 601.00 (Incl. of all taxes),08/2026,Email: care@ananya.com | Ph: 1800-931-2841,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-23 21:15:36,99%
LMC-01072,Tangy Tomato Nacho Chips 500 g,Snacks & Namkeen,Not Declared,500 g,Rs. 789.00 (Incl. of all taxes),04/2026,Email: care@godavari.com | Ph: 1800-360-5463,India,NON-COMPLIANT,Rule 6(1)(a): Manufacturer/packer declaration entirely missing,2026-08-23 12:37:36,94%
LMC-01073,Rava Upma Breakfast Mix 100 g,Ready-to-Eat,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",100 g,Rs. 398.00 (Incl. of all taxes),05/2026,Email: care@ananya.com | Ph: 1800-820-2642,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-18 01:29:36,90%
LMC-01074,Darjeeling Whole Leaf Black Tea 500 g,Tea & Coffee,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",500 g,Not Declared,04/2026,Email: care@navrang.com | Ph: 1800-853-4692,India,NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent,2026-07-12 09:56:36,88%
